                               No. of Molecules =      200
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         21.1606
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en        -263.22998
        Step              PE              KE                TE 
       578          -261.85198          49.04259        -212.80939
       579          -261.92144          49.11205        -212.80939
       580          -261.98998          49.18059        -212.80939
       581          -262.05759          49.24820        -212.80939
       582          -262.12426          49.31487        -212.80939
       583          -262.18999          49.38060        -212.80939
       584          -262.25478          49.44539        -212.80939
       585          -262.31862          49.50924        -212.80939
       586          -262.38153          49.57214        -212.80939
       587          -262.44348          49.63409        -212.80939
       588          -262.50449          49.69510        -212.80939
       589          -262.56454          49.75515        -212.80939
       590          -262.62364          49.81425        -212.80939
       591          -262.68180          49.87240        -212.80939
       592          -262.73900          49.92961        -212.80939
       593          -262.79525          49.98586        -212.80939
       594          -262.85055          50.04115        -212.80939
       595          -262.90488          50.09549        -212.80939
       596          -262.95825          50.14886        -212.80939
       597          -263.01065          50.20126        -212.80939
       598          -263.06208          50.25269        -212.80939
       599          -263.11253          50.30314        -212.80939
       600          -263.16200          50.35261        -212.80939
Time (in sec):         0.37
